PlayerName,Year,Stage,STG,GC,PC,KOM,SPR,SUM,BKY,ASS,Total
Joaquim Rodriguez,2015,Stage 10,-,5,-,-,-,-,-,-,5,
Joaquim Rodriguez,2015,Stage 11,-,2,-,-,-,-,-,-,2,
Joaquim Rodriguez,2015,Stage 12,200,6,-,6,-,30,10,-,252,
Joaquim Rodriguez,2015,Stage 13,-,4,-,6,-,-,-,-,10,
Joaquim Rodriguez,2015,Stage 14,-,2,-,6,-,-,-,-,8,
Joaquim Rodriguez,2015,Stage 15,-,-,-,6,-,-,-,2,8,
Joaquim Rodriguez,2015,Stage 16,-,-,-,6,-,-,-,-,6,
Joaquim Rodriguez,2015,Stage 17,-,-,-,6,-,-,-,-,6,
Joaquim Rodriguez,2015,Stage 18,-,-,-,10,-,-,10,-,20,
Joaquim Rodriguez,2015,Stage 19,-,-,-,4,3,15,-,-,22,
Joaquim Rodriguez,2015,Stage 20,20,-,-,2,-,-,-,-,22,
Joaquim Rodriguez,2015,Stage 21,-,-,-,2,-,-,-,2,4,
Joaquim Rodriguez,2015,Final Classifications,-,10,-,40,-,-,-,-,50,
Tejay Van Garderen,2015,Stage 1,-,1,-,-,-,-,-,-,1,
Tejay Van Garderen,2015,Stage 2,25,13,-,-,-,-,-,6,44,
Tejay Van Garderen,2015,Stage 3,70,20,-,-,-,-,-,6,96,
Tejay Van Garderen,2015,Stage 4,-,20,-,-,-,-,-,6,26,
Tejay Van Garderen,2015,Stage 5,-,20,-,-,-,-,-,6,26,
Tejay Van Garderen,2015,Stage 6,-,20,-,-,-,-,-,6,26,
Tejay Van Garderen,2015,Stage 7,-,20,-,-,-,-,-,6,26,
Tejay Van Garderen,2015,Stage 8,30,20,-,-,-,-,-,6,56,
Tejay Van Garderen,2015,Stage 9,50,22,-,-,-,-,-,8,80,
Tejay Van Garderen,2015,Stage 10,30,22,-,-,-,-,-,4,56,
Tejay Van Garderen,2015,Stage 11,15,22,-,-,-,-,-,-,37,
Tejay Van Garderen,2015,Stage 12,15,22,-,-,-,-,-,-,37,
Tejay Van Garderen,2015,Stage 13,30,22,-,-,-,-,-,6,58,
Tejay Van Garderen,2015,Stage 14,-,20,-,-,-,-,-,-,20,
Tejay Van Garderen,2015,Stage 15,-,20,-,-,-,-,-,-,20,
Tejay Van Garderen,2015,Stage 16,-,20,-,-,-,-,-,-,20,
Tejay Van Garderen,2015,Stage 17,-,-,-,-,-,-,-,-,0,
Tejay Van Garderen,2015,Stage 18,-,-,-,-,-,-,-,-,0,
Tejay Van Garderen,2015,Stage 19,-,-,-,-,-,-,-,-,0,
Tejay Van Garderen,2015,Stage 20,-,-,-,-,-,-,-,-,0,
Tejay Van Garderen,2015,Stage 21,-,-,-,-,-,-,-,-,0,
Tejay Van Garderen,2015,Final Classifications,-,-,-,-,-,-,-,-,0,
Bauke Mollema,2015,Stage 1,10,7,-,-,-,-,-,-,17,
Bauke Mollema,2015,Stage 2,-,-,-,-,-,-,-,8,8,
Bauke Mollema,2015,Stage 3,30,9,-,-,-,-,-,-,39,
Bauke Mollema,2015,Stage 4,-,9,-,-,-,-,-,-,9,
Bauke Mollema,2015,Stage 5,-,9,-,-,-,-,-,-,9,
Bauke Mollema,2015,Stage 6,-,9,-,-,-,-,-,-,9,
Bauke Mollema,2015,Stage 7,-,10,-,-,-,-,-,-,10,
Bauke Mollema,2015,Stage 8,40,11,-,-,-,-,-,-,51,
Bauke Mollema,2015,Stage 9,-,5,-,-,-,-,-,-,5,
Bauke Mollema,2015,Stage 10,-,10,-,-,-,-,-,-,10,
Bauke Mollema,2015,Stage 11,60,11,-,-,-,-,-,-,71,
Bauke Mollema,2015,Stage 12,-,11,-,-,-,-,-,-,11,
Bauke Mollema,2015,Stage 13,-,11,-,-,-,-,-,-,11,
Bauke Mollema,2015,Stage 14,-,11,-,-,-,-,-,-,11,
Bauke Mollema,2015,Stage 15,-,11,-,-,-,-,-,-,11,
Bauke Mollema,2015,Stage 16,-,12,-,-,-,-,-,-,12,
Bauke Mollema,2015,Stage 17,-,12,-,-,-,-,-,-,12,
